name,gender,country,occupation,birth_date,death_date,image_url,description
Naguib Mahfouz,male,Egypt,screenwriter,1911,2006,http://commons.wikimedia.org/wiki/Special:FilePath/Necip%20Mahfuz.jpg,"Naguib Mahfouz Abdelaziz Ibrahim Ahmed Al-Basha was an Egyptian writer who won the 1988 Nobel Prize in Literature. In awarding the prize, the Swedish Academy described him as a writer ""who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind"". Mahfouz is regarded as one of the first contemporary writers in Arabic literature, along with Taha Hussein, to explore themes of existentialism. He is the only Egyptian to win the Nobel Prize in Literature. He published 35 novels, over 350 short stories, 26 screenplays, hundreds of op-ed columns for Egyptian newspapers, and seven plays over a 70-year career, from the 1930s until 2004. All of his novels are set in Egypt, and always mention the concept of ""the lane"" as a microcosm of the world. His most famous works include The Cairo Trilogy and Children of Gebelawi. Many of Mahfouz's works have been adapted into Egyptian and international films; Making him one of the most widely adapted Arab authors. While Mahfouz's literature is classified as realist literature, existential themes appear in it."
Naguib Mahfouz,male,Egypt,writer,1911,2006,http://commons.wikimedia.org/wiki/Special:FilePath/Necip%20Mahfuz.jpg,"Naguib Mahfouz Abdelaziz Ibrahim Ahmed Al-Basha was an Egyptian writer who won the 1988 Nobel Prize in Literature. In awarding the prize, the Swedish Academy described him as a writer ""who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind"". Mahfouz is regarded as one of the first contemporary writers in Arabic literature, along with Taha Hussein, to explore themes of existentialism. He is the only Egyptian to win the Nobel Prize in Literature. He published 35 novels, over 350 short stories, 26 screenplays, hundreds of op-ed columns for Egyptian newspapers, and seven plays over a 70-year career, from the 1930s until 2004. All of his novels are set in Egypt, and always mention the concept of ""the lane"" as a microcosm of the world. His most famous works include The Cairo Trilogy and Children of Gebelawi. Many of Mahfouz's works have been adapted into Egyptian and international films; Making him one of the most widely adapted Arab authors. While Mahfouz's literature is classified as realist literature, existential themes appear in it."
Naguib Mahfouz,male,Egypt,intellectual,1911,2006,http://commons.wikimedia.org/wiki/Special:FilePath/Necip%20Mahfuz.jpg,"Naguib Mahfouz Abdelaziz Ibrahim Ahmed Al-Basha was an Egyptian writer who won the 1988 Nobel Prize in Literature. In awarding the prize, the Swedish Academy described him as a writer ""who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind"". Mahfouz is regarded as one of the first contemporary writers in Arabic literature, along with Taha Hussein, to explore themes of existentialism. He is the only Egyptian to win the Nobel Prize in Literature. He published 35 novels, over 350 short stories, 26 screenplays, hundreds of op-ed columns for Egyptian newspapers, and seven plays over a 70-year career, from the 1930s until 2004. All of his novels are set in Egypt, and always mention the concept of ""the lane"" as a microcosm of the world. His most famous works include The Cairo Trilogy and Children of Gebelawi. Many of Mahfouz's works have been adapted into Egyptian and international films; Making him one of the most widely adapted Arab authors. While Mahfouz's literature is classified as realist literature, existential themes appear in it."
Naguib Mahfouz,male,Egypt,playwright,1911,2006,http://commons.wikimedia.org/wiki/Special:FilePath/Necip%20Mahfuz.jpg,"Naguib Mahfouz Abdelaziz Ibrahim Ahmed Al-Basha was an Egyptian writer who won the 1988 Nobel Prize in Literature. In awarding the prize, the Swedish Academy described him as a writer ""who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind"". Mahfouz is regarded as one of the first contemporary writers in Arabic literature, along with Taha Hussein, to explore themes of existentialism. He is the only Egyptian to win the Nobel Prize in Literature. He published 35 novels, over 350 short stories, 26 screenplays, hundreds of op-ed columns for Egyptian newspapers, and seven plays over a 70-year career, from the 1930s until 2004. All of his novels are set in Egypt, and always mention the concept of ""the lane"" as a microcosm of the world. His most famous works include The Cairo Trilogy and Children of Gebelawi. Many of Mahfouz's works have been adapted into Egyptian and international films; Making him one of the most widely adapted Arab authors. While Mahfouz's literature is classified as realist literature, existential themes appear in it."
Naguib Mahfouz,male,Egypt,translator,1911,2006,http://commons.wikimedia.org/wiki/Special:FilePath/Necip%20Mahfuz.jpg,"Naguib Mahfouz Abdelaziz Ibrahim Ahmed Al-Basha was an Egyptian writer who won the 1988 Nobel Prize in Literature. In awarding the prize, the Swedish Academy described him as a writer ""who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind"". Mahfouz is regarded as one of the first contemporary writers in Arabic literature, along with Taha Hussein, to explore themes of existentialism. He is the only Egyptian to win the Nobel Prize in Literature. He published 35 novels, over 350 short stories, 26 screenplays, hundreds of op-ed columns for Egyptian newspapers, and seven plays over a 70-year career, from the 1930s until 2004. All of his novels are set in Egypt, and always mention the concept of ""the lane"" as a microcosm of the world. His most famous works include The Cairo Trilogy and Children of Gebelawi. Many of Mahfouz's works have been adapted into Egyptian and international films; Making him one of the most widely adapted Arab authors. While Mahfouz's literature is classified as realist literature, existential themes appear in it."
Naguib Mahfouz,male,Egypt,journalist,1911,2006,http://commons.wikimedia.org/wiki/Special:FilePath/Necip%20Mahfuz.jpg,"Naguib Mahfouz Abdelaziz Ibrahim Ahmed Al-Basha was an Egyptian writer who won the 1988 Nobel Prize in Literature. In awarding the prize, the Swedish Academy described him as a writer ""who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind"". Mahfouz is regarded as one of the first contemporary writers in Arabic literature, along with Taha Hussein, to explore themes of existentialism. He is the only Egyptian to win the Nobel Prize in Literature. He published 35 novels, over 350 short stories, 26 screenplays, hundreds of op-ed columns for Egyptian newspapers, and seven plays over a 70-year career, from the 1930s until 2004. All of his novels are set in Egypt, and always mention the concept of ""the lane"" as a microcosm of the world. His most famous works include The Cairo Trilogy and Children of Gebelawi. Many of Mahfouz's works have been adapted into Egyptian and international films; Making him one of the most widely adapted Arab authors. While Mahfouz's literature is classified as realist literature, existential themes appear in it."
Naguib Mahfouz,male,Egypt,novelist,1911,2006,http://commons.wikimedia.org/wiki/Special:FilePath/Necip%20Mahfuz.jpg,"Naguib Mahfouz Abdelaziz Ibrahim Ahmed Al-Basha was an Egyptian writer who won the 1988 Nobel Prize in Literature. In awarding the prize, the Swedish Academy described him as a writer ""who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind"". Mahfouz is regarded as one of the first contemporary writers in Arabic literature, along with Taha Hussein, to explore themes of existentialism. He is the only Egyptian to win the Nobel Prize in Literature. He published 35 novels, over 350 short stories, 26 screenplays, hundreds of op-ed columns for Egyptian newspapers, and seven plays over a 70-year career, from the 1930s until 2004. All of his novels are set in Egypt, and always mention the concept of ""the lane"" as a microcosm of the world. His most famous works include The Cairo Trilogy and Children of Gebelawi. Many of Mahfouz's works have been adapted into Egyptian and international films; Making him one of the most widely adapted Arab authors. While Mahfouz's literature is classified as realist literature, existential themes appear in it."
Naguib Mahfouz,male,Egypt,short story writer,1911,2006,http://commons.wikimedia.org/wiki/Special:FilePath/Necip%20Mahfuz.jpg,"Naguib Mahfouz Abdelaziz Ibrahim Ahmed Al-Basha was an Egyptian writer who won the 1988 Nobel Prize in Literature. In awarding the prize, the Swedish Academy described him as a writer ""who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind"". Mahfouz is regarded as one of the first contemporary writers in Arabic literature, along with Taha Hussein, to explore themes of existentialism. He is the only Egyptian to win the Nobel Prize in Literature. He published 35 novels, over 350 short stories, 26 screenplays, hundreds of op-ed columns for Egyptian newspapers, and seven plays over a 70-year career, from the 1930s until 2004. All of his novels are set in Egypt, and always mention the concept of ""the lane"" as a microcosm of the world. His most famous works include The Cairo Trilogy and Children of Gebelawi. Many of Mahfouz's works have been adapted into Egyptian and international films; Making him one of the most widely adapted Arab authors. While Mahfouz's literature is classified as realist literature, existential themes appear in it."
Naguib Mahfouz,male,Egypt,autobiographer,1911,2006,http://commons.wikimedia.org/wiki/Special:FilePath/Necip%20Mahfuz.jpg,"Naguib Mahfouz Abdelaziz Ibrahim Ahmed Al-Basha was an Egyptian writer who won the 1988 Nobel Prize in Literature. In awarding the prize, the Swedish Academy described him as a writer ""who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind"". Mahfouz is regarded as one of the first contemporary writers in Arabic literature, along with Taha Hussein, to explore themes of existentialism. He is the only Egyptian to win the Nobel Prize in Literature. He published 35 novels, over 350 short stories, 26 screenplays, hundreds of op-ed columns for Egyptian newspapers, and seven plays over a 70-year career, from the 1930s until 2004. All of his novels are set in Egypt, and always mention the concept of ""the lane"" as a microcosm of the world. His most famous works include The Cairo Trilogy and Children of Gebelawi. Many of Mahfouz's works have been adapted into Egyptian and international films; Making him one of the most widely adapted Arab authors. While Mahfouz's literature is classified as realist literature, existential themes appear in it."
Pope Theodoros II of Alexandria,male,Egypt,Pope of the Coptic Orthodox Church,1952,,http://commons.wikimedia.org/wiki/Special:FilePath/Tawadros%20II.jpg,"Pope Tawadros II is the 118th and current Pope of Alexandria and Patriarch of the See of St. Mark, succeeding the late Pope Shenouda III as leader of the Coptic Orthodox Church of Alexandria. He took office on 18 November 2012, two weeks after being selected."
Stephan El Shaarawy,male,Egypt,association football player,1992,,http://commons.wikimedia.org/wiki/Special:FilePath/20150616%20-%20Portugal%20-%20Italie%20-%20Gen%C3%A8ve%20-%20Stephan%20El%20Shaarawy%20%28cropped%29.jpg,"Stephan Kareem El Shaarawy is an Italian professional footballer who plays as a left winger for Serie A club Roma and the Italy national team. He is nicknamed Il Faraone, as his father is Egyptian."
Pope Theodosius II of Alexandria,male,Egypt,Eastern Orthodox priest,0650,0742,,"Pope Theodoros I of Alexandria, also known as St. Theodorus (Theodore), was the 45th Pope of Alexandria and Patriarch of the See of St. Mark from 730 to 742. He was a monk in a monastery near Mariout, which was known as the monastery of Tanboura, under the guidance of a virtuous elder called Yoannis (John). Coptic literature states that Yoannis was inspired by the Holy Spirit that his disciple Theodoros would one day become a Pope and he told those who were in authority."
Zeki Pasha,male,Egypt,military personnel,1862,1943,http://commons.wikimedia.org/wiki/Special:FilePath/Zeki%20Pasha.jpg,"Zeki Pasha, known as Mehmet Zeki Baraz Kolaç Kılıçoğlu after the 1934 Surname Law, was an Ottoman Balkan Wars and World War I field marshal of the Ottoman Army. He was of Circassian descent."
Zeki Pasha,male,Egypt,politician,1862,1943,http://commons.wikimedia.org/wiki/Special:FilePath/Zeki%20Pasha.jpg,"Zeki Pasha, known as Mehmet Zeki Baraz Kolaç Kılıçoğlu after the 1934 Surname Law, was an Ottoman Balkan Wars and World War I field marshal of the Ottoman Army. He was of Circassian descent."
Hosni Mubarak,male,Egypt,military personnel,1928,2020,http://commons.wikimedia.org/wiki/Special:FilePath/Hosni%20Mubarak%20ritratto.jpg,"Muhammad Hosni El Sayed Mubarak was an Egyptian politician and military officer who served as the fourth president of Egypt from 1981 to 2011 and the 41st prime minister from 1981 to 1982. He was previously the 18th vice president under President Anwar Sadat from 1975 until his accession to the presidency. Before he entered politics, Mubarak was a career officer in the Egyptian Air Force. He served as its commander from 1972 to 1975 and rose to the rank of air chief marshal in 1973."
Hosni Mubarak,male,Egypt,politician,1928,2020,http://commons.wikimedia.org/wiki/Special:FilePath/Hosni%20Mubarak%20ritratto.jpg,"Muhammad Hosni El Sayed Mubarak was an Egyptian politician and military officer who served as the fourth president of Egypt from 1981 to 2011 and the 41st prime minister from 1981 to 1982. He was previously the 18th vice president under President Anwar Sadat from 1975 until his accession to the presidency. Before he entered politics, Mubarak was a career officer in the Egyptian Air Force. He served as its commander from 1972 to 1975 and rose to the rank of air chief marshal in 1973."
Hosni Mubarak,male,Egypt,aircraft pilot,1928,2020,http://commons.wikimedia.org/wiki/Special:FilePath/Hosni%20Mubarak%20ritratto.jpg,"Muhammad Hosni El Sayed Mubarak was an Egyptian politician and military officer who served as the fourth president of Egypt from 1981 to 2011 and the 41st prime minister from 1981 to 1982. He was previously the 18th vice president under President Anwar Sadat from 1975 until his accession to the presidency. Before he entered politics, Mubarak was a career officer in the Egyptian Air Force. He served as its commander from 1972 to 1975 and rose to the rank of air chief marshal in 1973."
Anwar Sadat,male,Egypt,politician,1918,1981,http://commons.wikimedia.org/wiki/Special:FilePath/Sadat%201.jpg,"Muhammad Anwar es-Sadat was an Egyptian politician and military officer who served as the third president of Egypt, from 15 October 1970 until his assassination by members of the Egyptian Islamic Jihad on 6 October 1981. Sadat was a senior member of the Free Officers who overthrew King Farouk I in the Egyptian Revolution of 1952, and a close confidant of President Gamal Abdel Nasser, under whom he served as vice president twice and whom he succeeded as president in 1970. In 1978, Sadat and Menachem Begin, Prime Minister of Israel, signed a peace treaty in cooperation with United States President Jimmy Carter, for which they were recognized with the Nobel Peace Prize."
Anwar Sadat,male,Egypt,military officer,1918,1981,http://commons.wikimedia.org/wiki/Special:FilePath/Sadat%201.jpg,"Muhammad Anwar es-Sadat was an Egyptian politician and military officer who served as the third president of Egypt, from 15 October 1970 until his assassination by members of the Egyptian Islamic Jihad on 6 October 1981. Sadat was a senior member of the Free Officers who overthrew King Farouk I in the Egyptian Revolution of 1952, and a close confidant of President Gamal Abdel Nasser, under whom he served as vice president twice and whom he succeeded as president in 1970. In 1978, Sadat and Menachem Begin, Prime Minister of Israel, signed a peace treaty in cooperation with United States President Jimmy Carter, for which they were recognized with the Nobel Peace Prize."
Anwar Sadat,male,Egypt,diplomat,1918,1981,http://commons.wikimedia.org/wiki/Special:FilePath/Sadat%201.jpg,"Muhammad Anwar es-Sadat was an Egyptian politician and military officer who served as the third president of Egypt, from 15 October 1970 until his assassination by members of the Egyptian Islamic Jihad on 6 October 1981. Sadat was a senior member of the Free Officers who overthrew King Farouk I in the Egyptian Revolution of 1952, and a close confidant of President Gamal Abdel Nasser, under whom he served as vice president twice and whom he succeeded as president in 1970. In 1978, Sadat and Menachem Begin, Prime Minister of Israel, signed a peace treaty in cooperation with United States President Jimmy Carter, for which they were recognized with the Nobel Peace Prize."
Anwar Sadat,male,Egypt,statesperson,1918,1981,http://commons.wikimedia.org/wiki/Special:FilePath/Sadat%201.jpg,"Muhammad Anwar es-Sadat was an Egyptian politician and military officer who served as the third president of Egypt, from 15 October 1970 until his assassination by members of the Egyptian Islamic Jihad on 6 October 1981. Sadat was a senior member of the Free Officers who overthrew King Farouk I in the Egyptian Revolution of 1952, and a close confidant of President Gamal Abdel Nasser, under whom he served as vice president twice and whom he succeeded as president in 1970. In 1978, Sadat and Menachem Begin, Prime Minister of Israel, signed a peace treaty in cooperation with United States President Jimmy Carter, for which they were recognized with the Nobel Peace Prize."
Anwar Sadat,male,Egypt,military leader,1918,1981,http://commons.wikimedia.org/wiki/Special:FilePath/Sadat%201.jpg,"Muhammad Anwar es-Sadat was an Egyptian politician and military officer who served as the third president of Egypt, from 15 October 1970 until his assassination by members of the Egyptian Islamic Jihad on 6 October 1981. Sadat was a senior member of the Free Officers who overthrew King Farouk I in the Egyptian Revolution of 1952, and a close confidant of President Gamal Abdel Nasser, under whom he served as vice president twice and whom he succeeded as president in 1970. In 1978, Sadat and Menachem Begin, Prime Minister of Israel, signed a peace treaty in cooperation with United States President Jimmy Carter, for which they were recognized with the Nobel Peace Prize."
Ahmed Hassan,male,Egypt,association football coach,1975,,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%A3%D8%AD%D9%85%D8%AF%20%D8%AD%D8%B3%D9%86%20%D9%84%D8%A7%D8%B9%D8%A8%20%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AE%D8%A8%20%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%20%28cropped%29.png,Ahmed Hassan or Ahmad Hassan may refer to:
Ahmed Hassan,male,Egypt,association football player,1975,,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%A3%D8%AD%D9%85%D8%AF%20%D8%AD%D8%B3%D9%86%20%D9%84%D8%A7%D8%B9%D8%A8%20%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AE%D8%A8%20%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%20%28cropped%29.png,Ahmed Hassan or Ahmad Hassan may refer to:
Mohamed Hussein Tantawi,male,Egypt,military personnel,1935,2021,http://commons.wikimedia.org/wiki/Special:FilePath/Field%20Marshal%20Mohamed%20Hussein%20Tantawi%202002.jpg,"Muhammad Hussein Tantawi Soliman was an Egyptian field marshal and politician. He was the commander-in-chief of the Egyptian Armed Forces and, as chairman of the Supreme Council of the Armed Forces, was the de facto head of state from the ousting of President Hosni Mubarak on 11 February 2011 until the inauguration of Mohamed Morsi as president of Egypt on 30 June 2012."
Mohamed Hussein Tantawi,male,Egypt,politician,1935,2021,http://commons.wikimedia.org/wiki/Special:FilePath/Field%20Marshal%20Mohamed%20Hussein%20Tantawi%202002.jpg,"Muhammad Hussein Tantawi Soliman was an Egyptian field marshal and politician. He was the commander-in-chief of the Egyptian Armed Forces and, as chairman of the Supreme Council of the Armed Forces, was the de facto head of state from the ousting of President Hosni Mubarak on 11 February 2011 until the inauguration of Mohamed Morsi as president of Egypt on 30 June 2012."
Hamed Abdel-Samad,male,Egypt,writer,1972,,http://commons.wikimedia.org/wiki/Special:FilePath/Hamed%20Abdel-Samad%20%282013%29.jpg,Hamed Abdel-Samad is a German-Egyptian author critical of Islam.
Hamed Abdel-Samad,male,Egypt,historian,1972,,http://commons.wikimedia.org/wiki/Special:FilePath/Hamed%20Abdel-Samad%20%282013%29.jpg,Hamed Abdel-Samad is a German-Egyptian author critical of Islam.
Hamed Abdel-Samad,male,Egypt,novelist,1972,,http://commons.wikimedia.org/wiki/Special:FilePath/Hamed%20Abdel-Samad%20%282013%29.jpg,Hamed Abdel-Samad is a German-Egyptian author critical of Islam.
Hamed Abdel-Samad,male,Egypt,autobiographer,1972,,http://commons.wikimedia.org/wiki/Special:FilePath/Hamed%20Abdel-Samad%20%282013%29.jpg,Hamed Abdel-Samad is a German-Egyptian author critical of Islam.
Dusé Mohamed Ali,male,Egypt,writer,1866,1945,http://commons.wikimedia.org/wiki/Special:FilePath/Duse%20Mohamed.png,"Dusé Mohamed Ali was a Sudanese-Egyptian actor and political activist, who became known for his African nationalism. He was also a playwright, historian, journalist, editor, and publisher. In 1912 he founded the African Times and Orient Review, later revived as the African and Orient Review, which published in total through 1920. He lived and worked mostly in England, alongside the United States and Nigeria respectively. In the latter location, he founded the Comet Press Ltd, and The Comet newspaper in Lagos."
Dusé Mohamed Ali,male,Egypt,journalist,1866,1945,http://commons.wikimedia.org/wiki/Special:FilePath/Duse%20Mohamed.png,"Dusé Mohamed Ali was a Sudanese-Egyptian actor and political activist, who became known for his African nationalism. He was also a playwright, historian, journalist, editor, and publisher. In 1912 he founded the African Times and Orient Review, later revived as the African and Orient Review, which published in total through 1920. He lived and worked mostly in England, alongside the United States and Nigeria respectively. In the latter location, he founded the Comet Press Ltd, and The Comet newspaper in Lagos."
Essam Sharaf,male,Egypt,engineer,1952,,http://commons.wikimedia.org/wiki/Special:FilePath/Defense.gov%20News%20Photo%20110323-D-XH843-004%20-%20Secretary%20of%20Defense%20Robert%20M.%20Gates%20meets%20with%20Egyptian%20Prime%20Minister%20Essam%20Sharaf%20in%20Cairo%2C%20Egypt%2C%20on%20March%2023%2C%202011%20%28cropped%29.jpg,Essam Abdel-Aziz Sharaf is an Egyptian academic who was the Prime Minister of Egypt from 3 March 2011 to 7 December 2011. He served as minister of transportation from 2004 to 2005.
Essam Sharaf,male,Egypt,politician,1952,,http://commons.wikimedia.org/wiki/Special:FilePath/Defense.gov%20News%20Photo%20110323-D-XH843-004%20-%20Secretary%20of%20Defense%20Robert%20M.%20Gates%20meets%20with%20Egyptian%20Prime%20Minister%20Essam%20Sharaf%20in%20Cairo%2C%20Egypt%2C%20on%20March%2023%2C%202011%20%28cropped%29.jpg,Essam Abdel-Aziz Sharaf is an Egyptian academic who was the Prime Minister of Egypt from 3 March 2011 to 7 December 2011. He served as minister of transportation from 2004 to 2005.
Hesham Qandil,male,Egypt,engineer,1962,,http://commons.wikimedia.org/wiki/Special:FilePath/Hesham%20Mohamed%20Qandil%20World%20Economic%20Forum%202013%20crop.jpg,Hesham Mohamed Qandil is an Egyptian engineer and civil servant who was prime minister of Egypt from 2012 to 2013. Qandil was appointed as prime minister by President Mohamed Morsi on 24 July 2012 and sworn in on 2 August 2012. Qandil previously served as Minister of Water Resources and Irrigation from 2011 to 2012.
Hesham Qandil,male,Egypt,politician,1962,,http://commons.wikimedia.org/wiki/Special:FilePath/Hesham%20Mohamed%20Qandil%20World%20Economic%20Forum%202013%20crop.jpg,Hesham Mohamed Qandil is an Egyptian engineer and civil servant who was prime minister of Egypt from 2012 to 2013. Qandil was appointed as prime minister by President Mohamed Morsi on 24 July 2012 and sworn in on 2 August 2012. Qandil previously served as Minister of Water Resources and Irrigation from 2011 to 2012.
Ahmed Aboul Gheit,male,Egypt,politician,1942,,http://commons.wikimedia.org/wiki/Special:FilePath/Arab%20League%20Secretary-General%20Ahmed%20Aboul%20Gheit%20in%20July%202023%20-%2053057455593%20%28cropped%29.jpg,"Ahmed Aboul Gheit is an Egyptian politician and diplomat. He has been Secretary-General of the Arab League since July 2016. He was reappointed for a second term on 3 March 2021. Aboul-Gheit served as the Minister of Foreign Affairs of Egypt from 11 July 2004 to 6 March 2011. Previously, between 1999 and 2004, he was Egypt's Permanent Representative to the United Nations. He was succeeded as Minister of Foreign Affairs by ICJ judge Nabil Elaraby in March 2011, following the overthrow of President Hosni Mubarak. He was elected Secretary-General of the Arab League in March 2016, and his term commenced on 3 July 2016."
Ahmed Aboul Gheit,male,Egypt,diplomat,1942,,http://commons.wikimedia.org/wiki/Special:FilePath/Arab%20League%20Secretary-General%20Ahmed%20Aboul%20Gheit%20in%20July%202023%20-%2053057455593%20%28cropped%29.jpg,"Ahmed Aboul Gheit is an Egyptian politician and diplomat. He has been Secretary-General of the Arab League since July 2016. He was reappointed for a second term on 3 March 2021. Aboul-Gheit served as the Minister of Foreign Affairs of Egypt from 11 July 2004 to 6 March 2011. Previously, between 1999 and 2004, he was Egypt's Permanent Representative to the United Nations. He was succeeded as Minister of Foreign Affairs by ICJ judge Nabil Elaraby in March 2011, following the overthrow of President Hosni Mubarak. He was elected Secretary-General of the Arab League in March 2016, and his term commenced on 3 July 2016."
Mohamed Kamel Amr,male,Egypt,diplomat,1942,,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Kamel%20Amr%20Senate%20of%20Poland.JPG,Mohamed Kamel Amr is an Egyptian politician and diplomat who served as Egypt's Minister of Foreign Affairs between 2011 and 2013. He resigned from office on 30 June 2013.
Hussein el-Shafei,male,Egypt,politician,1918,2005,http://commons.wikimedia.org/wiki/Special:FilePath/Husain%20Alshafie.jpg,"Hussein Mahmoud Hassan el-Shafei was an Egyptian military officer who was a member of the Free Officers Movement and served as vice president under two Egyptian presidents, Gamal Abdel Nasser and Anwar Sadat. He was one of the nine men who had constituted themselves as the committee of the Free Officers movement and led the country's cavalry corps during the uprising, and was one of only three last-surviving members of the Revolutionary Command Council at the time of his death."
